University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank,Year
RUDN University,Russia,7800,1150,1375,1500,775,1650,1350,38,2019
University of Southern Denmark,Denmark,7775,900,1625,1575,1000,1350,1325,39,2019
Bogor Agricultural University,Indonesia,7775,1400,1200,1425,575,1475,1700,40,2019
Universita degli Studi di Torino,Italy,7750,650,1875,1425,700,1450,1650,41,2019
Universidad AutÃ³noma De Occidente,Colombia,7725,925,1475,1725,875,1200,1525,42,2019
Western Michigan University,USA,7725,1375,1475,1275,850,1375,1375,43,2019
King Abdulaziz University,Saudi Arabia,7700,1050,1675,1575,800,1275,1325,44,2019
National Chi Nan University,Chinese Taipei,7675,1325,1350,1425,750,1475,1350,45,2019
Universitat Bremen,Germany,7625,950,1475,1350,925,1475,1450,46,2019
Universitas Gadjah Mada,Indonesia,7625,900,1300,1500,875,1375,1675,47,2019
University of Zanjan,Iran,7625,1225,1125,1500,1000,1150,1625,48,2019
Universidad del Rosario,Colombia,7600,925,1625,1575,700,1500,1275,49,2019
Diponegoro University,Indonesia,7600,750,1575,1350,950,1225,1750,50,2019
McMaster University,Canada,7600,1075,1525,1500,850,1225,1425,51,2019
Universidad Autonoma De Nuevo Leon,Mexico,7600,925,1425,1425,750,1425,1650,52,2019
Universidad Nacional de Colombia,Colombia,7600,1050,1300,1425,800,1525,1500,53,2019
Istanbul Technical University,Turkey,7600,1050,1150,1575,800,1425,1600,54,2019
Universidade do Minho,Portugal,7575,975,1525,1650,700,1150,1575,55,2019
UNSW Sydney,Australia,7575,950,1450,1575,800,1225,1575,56,2019
FundaciÃ³n Universidad del Norte Barranquilla,Colombia,7575,925,1275,1650,1000,1150,1575,57,2019
Universiti Malaysia Sabah (UMS),Malaysia,7575,1175,1250,1275,925,1375,1575,58,2019
Institut Teknologi Sepuluh Nopember,Indonesia,7550,975,1350,1275,925,1225,1800,59,2019
Washington University Saint Louis,USA,7550,1025,1325,1500,925,1375,1400,60,2019
Universidad de Bogota Jorge Tadeo Lozano,Colombia,7525,875,1800,1275,650,1425,1500,61,2019
York University,Canada,7525,1200,1550,1425,750,1225,1375,62,2019
Aalborg University,Denmark,7500,625,1875,1800,775,1125,1300,63,2019
Universiti Utara Malaysia,Malaysia,7500,1225,1200,1125,750,1525,1675,64,2019
Universidad Autonoma de Puebla,Mexico,7475,875,1400,1650,850,1350,1350,65,2019
Trent University,Canada,7475,1125,1175,1800,600,1150,1625,66,2019
University of Eastern Finland,Finland,7450,500,1600,1800,1000,1125,1425,67,2019
Chaoyang University of Technology,Chinese Taipei,7450,925,1475,1500,825,1275,1450,68,2019
Da-Yeh University,Chinese Taipei,7450,900,1325,1500,775,1275,1675,69,2019
National Yunlin University of Science & Technology,Chinese Taipei,7425,1275,1300,1425,750,1425,1250,70,2019
Universitas Negeri Semarang,Indonesia,7400,1050,1475,1125,800,1450,1500,71,2019
University at Albany,USA,7400,950,1250,1500,850,1350,1500,72,2019
Universidade Positivo,Brazil,7375,975,1850,1575,875,775,1325,73,2019
University of Szeged,Hungary,7375,1200,1150,1650,800,1375,1200,74,2019
Mahidol University,Thailand,7350,1100,1175,1125,1000,1475,1475,75,2019
Universiti Malaysia Pahang,Malaysia,7350,1000,900,1350,850,1525,1725,76,2019
Nanhua University Taiwan,Chinese Taipei,7300,1275,1075,1575,850,1475,1050,77,2019
Inseec U,France,7275,225,1425,1800,1000,1100,1725,78,2019
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,7275,800,1400,1425,650,1500,1500,79,2019
University of Campinas â€“ UNICAMP,Brazil,7275,900,1200,1575,850,1275,1475,80,2019
Kasetsart University,Thailand,7275,1000,1150,1350,850,1350,1575,81,2019
Universiti Teknologi Malaysia,Malaysia,7275,1300,1075,1125,550,1500,1725,82,2019
University of Lincoln,UK,7250,750,1450,1425,850,1500,1275,83,2019
Chulalongkorn University,Thailand,7250,750,1350,1425,625,1400,1700,84,2019
University of A CoruÃ±a,Spain,7225,875,1475,1425,775,1250,1425,85,2019
University of Ottawa,Canada,7225,900,1300,1275,800,1550,1400,86,2019
Hame University of Applied Sciences,Finland,7200,1150,1500,1350,700,1050,1450,87,2019
Universidad Autonoma De Madrid,Spain,7175,1050,1525,1425,625,825,1725,88,2019
Glasgow Caledonian University,UK,7150,75,1650,1800,700,1650,1275,89,2019
Universidad de Oviedo,Spain,7150,1100,1500,1275,700,1425,1150,90,2019
De La Salle University - Dasmarinas,Philippines,7125,750,1475,1575,775,1125,1425,91,2019
Universidad Rey Juan Carlos,Spain,7125,800,1400,1575,600,1300,1450,92,2019
Universitat De Girona,Spain,7075,750,1525,1425,775,1175,1425,93,2019
Universidad de Navarra,Spain,7075,900,1450,1650,550,1350,1175,94,2019
Riga Technical University,Latvia,7075,725,1425,1425,675,1500,1325,95,2019
Universitas Sebelas Maret,Indonesia,7050,775,1450,1275,850,1275,1425,96,2019
Maynooth University,Ireland,7050,875,1400,1650,800,1200,1125,97,2019
Tampere University of Technology,Finland,7050,900,1100,1725,850,1350,1125,98,2019
UniversitÃ Ca' Foscari Venezia,Italy,7025,475,1400,1350,650,1500,1650,99,2019
University of PÃ©cs,Hungary,7025,975,1325,1500,675,1425,1125,100,2019
Universita degli Studi di Milano-Bicocca,Italy,7025,450,1250,1800,725,1525,1275,101,2019
Universiti Tunku Abdul Rahman,Malaysia,7025,1075,1050,1125,750,1350,1675,102,2019
Politecnico di Torino,Italy,7000,225,1650,1575,600,1400,1550,103,2019
"ITESO, Universidad Jesuita de Guadalajara",Mexico,7000,775,1525,1425,950,950,1375,104,2019
Universita degli Studi dell'Aquila,Italy,6975,900,1575,1425,825,1050,1200,105,2019
Al-Balqa Applied University,Jordan,6975,1125,1300,1050,550,1500,1450,106,2019
Luiss University,Italy,6950,750,1975,1275,450,1325,1175,107,2019
"California State University, Sacramento",USA,6950,725,1250,1350,850,1125,1650,108,2019
Universitas Islam Indonesia,Indonesia,6925,650,1400,1050,800,1275,1750,109,2019
UniversitÃ degli Studi di Genova,Italy,6900,1125,1500,1350,625,1150,1150,110,2019
Ukrainian National Forestry University,Ukraine,6900,1000,1125,1050,650,1275,1800,111,2019
UniversitÃ degli Studi di Salerno,Italy,6825,575,1450,1725,450,1125,1500,112,2019
Universitat PolitÃ¨cnica de ValÃ¨ncia,Spain,6800,500,1250,1650,575,1250,1575,113,2019
Universiti Teknikal Malaysia Melaka,Malaysia,6775,1225,1300,1050,550,1300,1350,114,2019
Politecnico Di Milano,Italy,6750,450,1225,1725,300,1500,1550,115,2019
Holy Spirit University of Kaslik (USEK),Lebanon,6725,750,1500,1200,500,1250,1525,116,2019
Kafrelsheikh University,Egypt,6725,625,1350,1275,675,1225,1575,117,2019
Universidad Nacional Autonoma de Mexico,Mexico,6725,850,1275,1350,775,1175,1300,118,2019
National Taipei University of Technology,Chinese Taipei,6700,950,1250,1050,850,1125,1475,119,2019
Gordon College,USA,6700,1100,975,1500,850,1175,1100,120,2019
Notre Dame University - Louaize,Lebanon,6675,775,1400,1425,675,1025,1375,121,2019
Universitat de Valencia,Spain,6675,500,1200,1575,550,1300,1550,122,2019
University of Kashan,Iran,6650,1050,1500,1125,700,1250,1025,123,2019
Yuan Ze University,Chinese Taipei,6650,825,1275,1275,650,975,1650,124,2019
Manipal Academy of Higher Education,India,6650,1100,1150,975,900,1400,1125,125,2019
Kansai University,Japan,6650,900,925,1425,700,1475,1225,126,2019
Asia University Taiwan,Chinese Taipei,6625,1125,1200,975,750,1250,1325,127,2019
Teesside University,UK,6600,275,1850,1425,700,1075,1275,128,2019
Modul University,Austria,6600,600,1575,1725,500,1150,1050,129,2019
Greifswald University,Germany,6575,675,1500,1425,675,1200,1100,130,2019
Universidad de Sonora,Mexico,6575,1200,1300,975,700,1225,1175,131,2019
American University in Cairo,Egypt,6575,950,1250,1050,950,1025,1350,132,2019
Perm National Research Polytechnic University,Russia,6550,925,1550,1050,500,1225,1300,133,2019
National Cheng Kung University,Chinese Taipei,6550,850,1275,1050,700,1325,1350,134,2019
Telkom University,Indonesia,6550,775,1250,1350,700,1325,1150,135,2019
Erciyes University,Turkey,6550,1100,1200,900,750,1175,1425,136,2019
Universidad Tecnologica de Pereira,Colombia,6550,825,1075,1200,875,1250,1325,137,2019
Princess Nourah Bint Abdulrahman University,Saudi Arabia,6500,1025,1200,1200,950,1225,900,138,2019
Tilburg University,Netherland,6500,825,925,1275,900,1450,1125,139,2019
Dhurakij Pundit University,Thailand,6475,925,1350,1050,700,1175,1275,140,2019
Costa Rica Institute of Technology,Costa Rica,6475,850,1200,1350,625,1225,1225,141,2019
Universitas Padjadjaran,Indonesia,6475,675,1175,1350,725,1150,1400,142,2019
Universidad El Bosque,Colombia,6450,525,1550,1125,750,1200,1300,143,2019
Universidad Miguel Hernandez,Spain,6450,875,1200,1050,775,1200,1350,144,2019
Universiti Sains Malaysia,Malaysia,6450,800,1125,1050,625,1325,1525,145,2019
Tzu Chi University,Chinese Taipei,6450,900,975,1275,700,1325,1275,146,2019
Universidad de Caldas,Colombia,6450,900,975,1575,725,1225,1050,147,2019
Lincoln University,New Zealand,6450,1025,750,1200,700,1200,1575,148,2019
Centro Universitario do Rio Grande do Norte UNI-RN,Brazil,6425,850,1400,1125,875,1000,1175,149,2019
Daffodil International University,Bangladesh,6425,700,1350,1200,750,1375,1050,150,2019
Naresuan University,Thailand,6425,1000,1050,1200,825,1075,1275,151,2019
Universidad EAFIT,Colombia,6375,625,1450,1200,675,900,1525,152,2019
Slippery Rock University,USA,6375,1075,1350,1125,850,925,1050,153,2019
Universidad de los Andes Colombia,Colombia,6375,725,1075,1350,700,1350,1175,154,2019
National Chung Hsing University,Chinese Taipei,6375,1050,1000,1350,775,975,1225,155,2019
"Adam Mickiewicz University, Pozna?",Poland,6375,1150,875,1425,625,975,1325,156,2019
Wentworth Institute of Technology,USA,6350,675,1475,1425,600,1200,975,157,2019
King Mongkut 's University of Technology Thonburi,Thailand,6350,700,1325,975,650,1275,1425,158,2019
Siam University,Thailand,6350,450,1150,1350,750,1350,1300,159,2019
National Taitung University,Chinese Taipei,6350,950,1075,1350,750,1100,1125,160,2019
King Mongkuts University of Technology North Bangkok,Thailand,6350,1225,975,750,825,1450,1125,161,2019
Universidade Federal de Vicosa - UFV,Brazil,6325,1025,1450,825,675,1200,1150,162,2019
University of Babylon,Iraq,6325,950,1250,975,600,1375,1175,163,2019
I-Shou University,Chinese Taipei,6325,725,1200,1500,825,1075,1000,164,2019
Ton Duc Thang University,Vietnam,6325,900,1000,1125,725,1150,1425,165,2019
Mae Fah Luang University,Thailand,6300,1275,1100,900,625,1300,1100,166,2019
Middle East Technical University,Turkey,6300,1075,1050,1125,525,1325,1200,167,2019
Pontificia Universidad Javeriana-Bogota,Colombia,6275,625,1300,1125,450,1425,1350,168,2019
Universidad CES,Colombia,6275,825,1300,1050,750,1200,1150,169,2019
Universitat Rovira i Virgili,Spain,6275,800,1150,1575,350,1050,1350,170,2019
Universitat De Barcelona,Spain,6275,625,1000,1575,625,1100,1350,171,2019
Universitas Islam Negeri Raden Intan Lampung,Indonesia,6250,950,1450,1125,650,1250,825,172,2019
Ozyegin University,Turkey,6250,775,1300,1200,600,1175,1200,173,2019
"Royal Holloway, University of London",UK,6250,675,1125,1275,650,1475,1050,174,2019
Miami University,USA,6250,1225,1000,1200,375,1100,1350,175,2019
Universidad De Santander,Colombia,6225,850,1350,1275,600,1150,1000,176,2019
Chang Jung Christian University,Chinese Taipei,6225,775,1175,1425,500,975,1375,177,2019
Mangalore University,India,6175,975,1400,825,675,1175,1125,178,2019
Siberian Federal University,Russia,6175,975,1375,750,500,1225,1350,179,2019
Suranaree University of Technology,Thailand,6175,1250,1175,825,750,975,1200,180,2019
National Chin-Yi University of Technology,Chinese Taipei,6175,625,1050,1200,600,1050,1650,181,2019
Maejo University,Thailand,6175,1350,1050,825,600,1250,1100,182,2019
UiTM SHAH ALAM,Malaysia,6175,700,875,1500,1000,750,1350,183,2019
Stockholm School of Economics,Sweden,6150,500,1225,1350,725,1300,1050,184,2019
UniversitÃ di Trieste,Italy,6150,525,1075,1800,725,1000,1025,185,2019
National Pingtung University,Chinese Taipei,6150,925,1000,1125,575,1375,1150,186,2019
Phetchaburi Rajabhat University,Thailand,6150,800,875,1200,775,1200,1300,187,2019
Fo Guang University,Chinese Taipei,6150,950,875,1350,750,1250,975,188,2019
Universitas Muhammadiyah Yogyakarta,Indonesia,6125,725,1450,975,775,1150,1050,189,2019
Ben-Gurion University of the Negev,Israel,6125,575,1225,1275,825,800,1425,190,2019
Universidad Autonoma Metropolitana,Mexico,6125,875,1050,1200,750,825,1425,191,2019
University of Cyprus,Republic of Cyprus,6125,875,975,1425,800,1150,900,192,2019
Hochschule Fur Nachhaltige Entwicklung Eberswalde,Germany,6100,750,1450,975,475,1075,1375,193,2019
Universidad de JaÃ©n,Spain,6100,675,1325,1050,625,1150,1275,194,2019
Universidade de Vigo,Spain,6100,850,1250,1275,625,1125,975,195,2019
Universidad De Antioquia,Colombia,6100,550,1250,1125,750,1125,1300,196,2019
Rajamangala University of Technology Thanyaburi (RMUTT),Thailand,6100,700,1150,1125,675,1275,1175,197,2019
University of Guilan,Iran,6100,1125,1100,750,500,1125,1500,198,2019
Universiy of Kufa,Iraq,6100,950,1100,1125,825,925,1175,199,2019
Tunghai University,Chinese Taipei,6100,925,1075,1050,750,1275,1025,200,2019
Providence University,Chinese Taipei,6100,975,975,1200,575,1175,1200,201,2019
University of Debrecen,Hungary,6100,600,775,1500,525,1400,1300,202,2019
Universidad De Castilla La Mancha,Spain,6075,825,1375,1050,450,950,1425,203,2019
Universidad Icesi,Colombia,6075,850,1225,975,575,1250,1200,204,2019
Universita degli Studi di Bari Aldo Moro,Italy,6075,750,1125,1125,725,1200,1150,205,2019
Escuela Superior PolitÃ©cnica De Chimborazo,Ecuador,6075,925,875,1275,500,1225,1275,206,2019
University of Isfahan,Iran,6075,1225,825,975,700,1300,1050,207,2019
Sumy State University,Ukraine,6050,950,1450,750,600,1100,1200,208,2019
Universidad de Manizales,Colombia,6050,925,1350,1350,400,1050,975,209,2019
University of Maribor,Slovenia,6050,575,1275,1200,450,1150,1400,210,2019
Universidad Iberoamericana Puebla,Mexico,6050,925,1175,1125,800,975,1050,211,2019
Swedish University of Agricultural Sciences,Sweden,6050,875,1050,1125,350,925,1725,212,2019
Universitas Multimedia Nusantara,Indonesia,6025,575,1500,1200,900,950,900,213,2019
Tel Aviv University,Israel,6000,350,1550,1050,550,1175,1325,214,2019
Stavropol State Agrarian University,Russia,6000,300,1450,1200,650,1200,1200,215,2019
Al-Farabi Kazakh National University,Kazakhstan,6000,1050,1300,600,500,975,1575,216,2019
Escuela Superior Politecnica del Litoral,Ecuador,6000,925,825,1275,650,1250,1075,217,2019
Universitat de Vic - Universitat Central de Catalunya,Spain,5975,525,1550,1275,625,975,1025,218,2019
Universidad Autonoma De Yucatan,Mexico,5975,675,1500,900,775,625,1500,219,2019
Cyprus International University,Turkey,5975,850,1400,975,575,1200,975,220,2019
Tra Vinh University,Vietnam,5975,900,1250,825,750,1250,1000,221,2019
Benha University,Egypt,5950,1025,1275,975,525,950,1200,222,2019
Voronezh State University,Russia,5950,650,1025,1275,500,1225,1275,223,2019
Irkutsk State Agrarian University named after A.A. Ezhevsky,Russia,5950,950,1000,675,525,1350,1450,224,2019
Universidad Santiago de Cali,Colombia,5925,650,1500,1350,750,550,1125,225,2019
Universitat Jaume I,Spain,5925,850,1100,1125,725,1125,1000,226,2019
Aksaray University,Turkey,5925,900,1025,1575,150,1225,1050,227,2019
Pontificia Universidade Catolica Do Rio De Janeiro Puc-rio,Brazil,5925,950,725,1125,625,1450,1050,228,2019
Katholische Universitat Eichstatt-ingolstadt,Germany,5900,850,1500,1050,100,1200,1200,229,2019
Universidade de Aveiro,Portugal,5900,550,1450,1200,525,1075,1100,230,2019
University of San Francisco,USA,5900,575,1175,1275,575,1050,1250,231,2019
De La Salle University Manila,Philippines,5900,650,1125,1350,550,925,1300,232,2019
Mahasarakham University,Thailand,5900,1025,900,900,500,1225,1350,233,2019
University of Ontario Institute of Technology,Canada,5875,875,1300,1200,850,625,1025,234,2019
"Instituto Federal de EducaÃ§Ã£o, CiÃªncia e Tecnologia do Sul de Minas Gerais",Brazil,5875,825,1225,975,675,1125,1050,235,2019
Srinakharinwirot University,Thailand,5875,775,1150,975,575,1500,900,236,2019
University of Agriculture Faisalabad,Pakistan,5875,900,1050,675,750,1200,1300,237,2019
Universidade Federal De Mato Grosso Do Sul,Brazil,5875,425,1000,1500,850,1125,975,238,2019
Jordan University of Science and Technology,Jordan,5875,1250,900,825,750,1425,725,239,2019
Birzeit University,Palestine,5850,800,1450,900,575,875,1250,240,2019
International University of Business Agriculture and Technology,Bangladesh,5825,600,1325,975,600,1200,1125,241,2019
American University of Beirut,Lebanon,5825,675,1150,1125,700,1025,1150,242,2019
S R M University (Institute of Science and Technology),India,5825,550,975,1200,900,1250,950,243,2019
EÃ¶tvÃ¶s LorÃ¡nd University Budapest,Hungary,5825,925,800,1425,350,1025,1300,244,2019
Universidad de Valladolid,Spain,5800,800,1525,825,475,1125,1050,245,2019
Al-Zaytoonah University of Jordan (zuj),Jordan,5800,925,1325,825,600,1075,1050,246,2019
Gdansk University of Technology,Poland,5800,925,1250,1350,150,1100,1025,247,2019
Wilfrid Laurier University,Canada,5800,375,1125,1350,350,950,1650,248,2019
Universidad EIA,Colombia,5800,775,1025,1200,700,1100,1000,249,2019
Universitas Sumatera Utara,Indonesia,5800,800,925,1275,775,1075,950,250,2019
University of Petra,Jordan,5775,725,1225,1050,950,825,1000,251,2019
Universidad Pontificia Bolivariana,Colombia,5750,675,1225,1050,425,1100,1275,252,2019
Kalasalingam University,India,5750,875,1025,900,450,1300,1200,253,2019
Zonguldak Bulent Ecevit University,Turkey,5750,975,975,975,450,1400,975,254,2019
Airlangga University,Indonesia,5750,875,875,900,650,1325,1125,255,2019
Al-Ahliyya Amman University,Jordan,5725,625,1350,975,800,1175,800,256,2019
Brawijaya University,Indonesia,5725,575,1250,900,600,950,1450,257,2019
Universita degli Studi di Ferrara,Italy,5725,475,1050,1500,400,925,1375,258,2019
Ege University,Turkey,5725,875,975,1050,500,1275,1050,259,2019
Universidade do Vale do Itajai UNIVALI,Brazil,5700,975,1075,1125,375,975,1175,260,2019
UniversitÃ degli Studi di Perugia,Italy,5700,775,925,1275,700,975,1050,261,2019
Northeastern University,Thailand,5700,1100,900,675,650,1225,1150,262,2019
Yildiz Technical University,Turkey,5675,875,1100,900,500,1250,1050,263,2019
Universidad del Valle,Colombia,5675,1000,775,1200,450,1075,1175,264,2019
Chiba University,Japan,5675,975,725,1125,450,975,1425,265,2019
Institucion Universitaria Politecnico Grancolombiano,Colombia,5650,725,1325,1125,625,950,900,266,2019
Metropolia University of Applied Sciences,Finland,5650,375,1225,1425,650,925,1050,267,2019
Universidad Internacional del Ecuador,Ecuador,5650,1275,800,1500,725,825,525,268,2019
National Institute of Development Administration,Thailand,5650,825,725,975,525,1250,1350,269,2019
University of Ioannina,Greece,5625,1275,1250,1200,300,750,850,270,2019
Mehran University of Engineering & Technology,Pakistan,5625,1050,1100,675,425,1100,1275,271,2019
University of Kelaniya,Sri Lanka,5625,675,1000,1350,700,875,1025,272,2019
Indian Institute of Information Technology and Management Gwalior,India,5625,775,950,1200,475,1125,1100,273,2019
Technische UniversitÃ¤t Kaiserslautern (TUK),Germany,5625,775,775,1650,350,1175,900,274,2019
Politeknik Merlimau Melaka,Malaysia,5625,900,750,1425,600,900,1050,275,2019
Universidad CatÃ³lica De Oriente,Colombia,5625,1000,675,1050,650,875,1375,276,2019
Loyola Marymount University,USA,5600,650,1200,1125,725,925,975,277,2019
Universidad de IbaguÃ©,Colombia,5600,1000,1125,1125,625,925,800,278,2019
Minin University,Russia,5600,750,1025,1275,450,1300,800,279,2019
East Stroudsburg University,USA,5600,1275,825,1200,700,850,750,280,2019
Universiti Kebangsaan Malaysia,Malaysia,5600,1100,600,1050,525,1125,1200,281,2019
Hitit University,Turkey,5575,900,1175,1350,200,1325,625,282,2019
Universidad Autonoma de Chiapas,Mexico,5575,1325,800,1050,450,875,1075,283,2019
Western Kentucky University,USA,5525,625,1150,1125,600,1075,950,284,2019
Universita degli Studi di Brescia,Italy,5525,450,1100,1350,250,1400,975,285,2019
University of Lucerne,Switzerland,5500,300,1200,1350,700,1300,650,286,2019
University of Alabama Birmingham,USA,5500,675,1025,900,650,1050,1200,287,2019
Universidad de Ciencias Aplicadas y Ambientales UDCA,Colombia,5500,725,750,1350,775,650,1250,288,2019
Universidad Autonoma Del Estado De Mexico,Mexico,5500,700,675,1350,625,1025,1125,289,2019
Akdeniz University,Turkey,5500,1050,675,1125,450,1225,975,290,2019
ISCTE Instituto Universitario de Lisboa,Portugal,5475,350,1200,1350,350,1100,1125,291,2019
Universita degli Studi della Tuscia,Italy,5475,975,1100,900,350,1175,975,292,2019
Cukurova University,Turkey,5475,1325,925,450,250,1350,1175,293,2019
University of Sharjah,United Arab Emirates,5475,850,900,975,925,925,900,294,2019
Pir Mehr Ali Shah Arid Agriculture University Rawalpindi,Pakistan,5475,925,675,675,800,1250,1150,295,2019
Ming Chi University of Technology,Chinese Taipei,5475,1200,625,1275,500,800,1075,296,2019
British Columbia Institute of Technology,Canada,5450,300,1600,1500,625,850,575,297,2019
Orel State University named after I.S.Turgenev,Russia,5450,550,1175,750,725,1000,1250,298,2019
Chiang Mai University,Thailand,5450,775,1150,675,525,1200,1125,299,2019
Universidad de Las Palmas de Gran Canaria,Spain,5450,375,1125,1200,775,775,1200,300,2019
Universidad Santo Tomas,Colombia,5425,450,1425,900,425,1000,1225,301,2019
S. Toraighyrov Pavlodar State lJniversity,Kazakhstan,5425,1100,1250,375,300,1175,1225,302,2019
Universitas Medan Area,Indonesia,5425,775,1075,975,450,1025,1125,303,2019
Atyrau State University,Kazakhstan,5400,750,1350,450,575,1250,1025,304,2019
Afyon Kocatepe University,Turkey,5400,775,1225,1050,100,1525,725,305,2019
Universidad Militar Nueva Granada,Colombia,5400,425,1100,975,550,975,1375,306,2019
Pontificia Universidade Catolica Do Rio Grande Do Sul Pucrs,Brazil,5400,1050,1050,900,575,850,975,307,2019
HungKuang University,Chinese Taipei,5375,375,1325,975,650,1125,925,308,2019
Northwest Missouri State University / Missouri Arboretum,USA,5375,975,1200,1200,725,625,650,309,2019
Universidad Del Cauca,Colombia,5375,675,1075,975,550,1275,825,310,2019
"Muahmmad Nawaz Shareef University of Agriculture, Multan",Pakistan,5375,825,1025,900,450,975,1200,311,2019
University of Illinois Springfield,USA,5375,975,850,1350,600,1000,600,312,2019
Universidade Federal Do TriÃ¢ngulo Mineiro UFTM,Brazil,5375,875,800,1425,475,825,975,313,2019
University of Hradec Kralove,Czech Republic,5350,575,1125,1200,350,1350,750,314,2019
University of Baghdad,Iraq,5350,1100,725,600,500,1325,1100,315,2019
Babes Bolyai University,Romania,5350,825,725,750,300,1600,1150,316,2019
Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,Russia,5350,1250,325,675,550,1300,1250,317,2019
Universidad Pontificia Comillas,Spain,5325,275,1100,1125,650,950,1225,318,2019
Universita degli Studi di Padova,Italy,5325,800,1100,1125,400,1025,875,319,2019
University of Jordan,Jordan,5325,900,1100,750,450,950,1175,320,2019
"Guru Jambheshwar University of Science and Technology,Hisar, Haryana",India,5325,1100,900,825,650,1250,600,321,2019
Alexandria University,Egypt,5325,1025,650,750,525,1100,1275,322,2019
Aix Marseille University,France,5300,500,1150,1050,350,850,1400,323,2019
Sabanci University,Turkey,5300,1050,1050,1200,625,625,750,324,2019
University of Malta,Malta,5275,375,1325,1350,375,800,1050,325,2019
Universidad Nacional Abierta y a Distancia Colombia,Colombia,5275,375,1200,975,500,900,1325,326,2019
The University of Lahore,Pakistan,5275,575,1050,750,550,1225,1125,327,2019
Universidad De Medellin,Colombia,5275,825,975,825,500,1175,975,328,2019
Universita della Calabria,Italy,5275,1000,900,1200,250,1050,875,329,2019
University College of Agroscience Malaysia,Malaysia,5275,1175,575,675,650,1075,1125,330,2019
"University of South Asia, Lahore, Pakistan",Pakistan,5250,650,1300,675,475,1200,950,331,2019
Tomsk Polytechnic University,Russia,5250,925,1250,750,250,950,1125,332,2019
Al-Aqsa University,Palestine,5250,525,1125,825,550,1100,1125,333,2019
Nakhon Si Thammarat Rajabhat University,Thailand,5250,875,1100,900,600,775,1000,334,2019
Thammasat University,Thailand,5250,875,1075,975,475,1050,800,335,2019
Thaksin University,Thailand,5250,650,1050,750,850,1050,900,336,2019
